invoice_id,branch,customer_type,gender,product_line,unit_price,quantity,tax,date,time,payment,cogs,gross_income,rating,total
750-67-8428,A,Member,Female,Health and beauty,74.69,7,26.1415,2019-01-05,2022-09-22 13:08:00,Ewallet,522.83,26.1415,9.1,548.9715
226-31-3081,C,Normal,Female,Electronic accessories,15.28,5,3.82,2019-03-08,2022-09-22 10:29:00,Cash,76.4,3.82,9.6,80.22
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,2019-03-03,2022-09-22 13:23:00,Credit card,324.31,16.2155,7.4,340.5255
123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.288,2019-01-27,2022-09-22 20:33:00,Ewallet,465.76,23.288,8.4,489.048
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,2019-02-08,2022-09-22 10:37:00,Ewallet,604.17,30.2085,5.3,634.3785
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,2019-03-25,2022-09-22 18:30:00,Ewallet,597.73,29.8865,4.1,627.6165
355-53-5943,A,Member,Female,Electronic accessories,68.84,6,20.652,2019-02-25,2022-09-22 14:36:00,Ewallet,413.04,20.652,5.8,433.692
315-22-5665,C,Normal,Female,Home and lifestyle,73.56,10,36.78,2019-02-24,2022-09-22 11:38:00,Ewallet,735.6,36.78,8.0,772.38
665-32-9167,A,Member,Female,Health and beauty,36.26,2,3.626,2019-01-10,2022-09-22 17:15:00,Credit card,72.52,3.626,7.2,76.146
692-92-5582,B,Member,Female,Food and beverages,54.84,3,8.226,2019-02-20,2022-09-22 13:27:00,Credit card,164.52,8.226,5.9,172.746
351-62-0822,B,Member,Female,Fashion accessories,14.48,4,2.896,2019-02-06,2022-09-22 18:07:00,Ewallet,57.92,2.896,4.5,60.816
529-56-3974,B,Member,Male,Electronic accessories,25.51,4,5.102,2019-03-09,2022-09-22 17:03:00,Cash,102.04,5.102,6.8,107.142
365-64-0515,A,Normal,Female,Electronic accessories,46.95,5,11.7375,2019-02-12,2022-09-22 10:25:00,Ewallet,234.75,11.7375,7.1,246.4875
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,2019-02-07,2022-09-22 16:48:00,Ewallet,431.9,21.595,8.2,453.495
829-34-3910,A,Normal,Female,Health and beauty,71.38,10,35.69,2019-03-29,2022-09-22 19:21:00,Cash,713.8,35.69,5.7,749.49
299-46-1805,B,Member,Female,Sports and travel,93.72,6,28.116,2019-01-15,2022-09-22 16:19:00,Cash,562.32,28.116,4.5,590.436
656-95-9349,A,Member,Female,Health and beauty,68.93,7,24.1255,2019-03-11,2022-09-22 11:03:00,Credit card,482.51,24.1255,4.6,506.6355
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,2019-01-01,2022-09-22 10:39:00,Credit card,435.66,21.783,6.9,457.443
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,2019-01-21,2022-09-22 18:00:00,Credit card,164.01,8.2005,8.6,172.2105
319-50-3348,B,Normal,Female,Home and lifestyle,40.3,2,4.03,2019-03-11,2022-09-22 15:30:00,Ewallet,80.6,4.03,4.4,84.63
300-71-4605,C,Member,Male,Electronic accessories,86.04,5,21.51,2019-02-25,2022-09-22 11:24:00,Ewallet,430.2,21.51,4.8,451.71
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,2019-03-05,2022-09-22 10:40:00,Ewallet,263.94,13.197,5.1,277.137
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,2019-03-15,2022-09-22 12:20:00,Credit card,66.4,3.32,4.4,69.72
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,2019-02-17,2022-09-22 11:15:00,Ewallet,172.8,8.64,9.9,181.44
549-59-1358,A,Member,Male,Sports and travel,88.63,3,13.2945,2019-03-02,2022-09-22 17:36:00,Ewallet,265.89,13.2945,6.0,279.1845
227-03-5010,A,Member,Female,Home and lifestyle,52.59,8,21.036,2019-03-22,2022-09-22 19:20:00,Credit card,420.72,21.036,8.5,441.756
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,2019-02-08,2022-09-22 15:31:00,Cash,33.52,1.676,6.7,35.196
189-17-4241,A,Normal,Female,Fashion accessories,87.67,2,8.767,2019-03-10,2022-09-22 12:17:00,Credit card,175.34,8.767,7.7,184.107
145-94-9061,B,Normal,Female,Food and beverages,88.36,5,22.09,2019-01-25,2022-09-22 19:48:00,Cash,441.8,22.09,9.6,463.89
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,2019-03-15,2022-09-22 15:36:00,Cash,224.01,11.2005,7.4,235.2105
871-79-8483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,2019-02-25,2022-09-22 19:39:00,Credit card,470.65,23.5325,4.8,494.1825
149-71-6266,B,Member,Male,Sports and travel,78.07,9,35.1315,2019-01-28,2022-09-22 12:43:00,Cash,702.63,35.1315,4.5,737.7615
640-49-2076,B,Normal,Male,Sports and travel,83.78,8,33.512,2019-01-10,2022-09-22 14:49:00,Cash,670.24,33.512,5.1,703.752
595-11-5460,A,Normal,Male,Health and beauty,96.58,2,9.658,2019-03-15,2022-09-22 10:12:00,Credit card,193.16,9.658,5.1,202.818
183-56-6882,C,Member,Female,Food and beverages,99.42,4,19.884,2019-02-06,2022-09-22 10:42:00,Ewallet,397.68,19.884,7.5,417.564
